feature_group,examples,availability,model_default,notes
identifier,"source, player_id, match_id",identity/key,not predictor,"Unique longitudinal key is (source, player_id, match_id)."
target outcome,"target_win, target_kda, target_damage_to_champions_per_min",known after target match,TARGET ONLY,Never use target performance columns as predictors.
target context,"target_patch, target_champion_id, target_team_position",target-match context,use only when justified,Champion may be pre-game-known; role field should be treated cautiously.
immediate prior match,"prev_ranked_win, prev_ranked_kda, gap_from_prev_ranked_min",strictly before target,predictor,Primary post-loss requeue variables live here.
recent competitive volume,ranked_games_prev_3h/6h/12h/24h,strictly before target,predictor,Current target is excluded from all recent windows.
recent competitive load,ranked_minutes_played_prev_3h/6h/12h/24h,strictly before target,predictor,Sum of previous observed ranked match durations in the window.
session depth,ranked_session_game_no_30m/45m/60m/90m,strictly based on pre-target chronology,predictor,Threshold not chosen yet; retain sensitivity variants.
streak/history,"prev_ranked_loss_streak, prior_ranked_win_rate",strictly before target,predictor/control,Expanding baselines exclude the target match.
switch behavior,"champion_changed_from_prev_ranked, role_changed_from_prev_ranked",comparison with immediately previous observed ranked match,predictor,Target champion/role context is retained separately.
data-quality flags,"target_game_complete, target_under_5_min, target_under_10_min",known after target match,filter/sensitivity only,No remake-duration policy is silently imposed by this builder.
